SpeciesID,SpecCode,Genus,Species,FBname,OccurCells,Kingdom,Phylum,Class,Order,Family
Fis-22851,207,Bothus,podas,Wide-eyed flounder,301,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae
Fis-22939,208,Pristipomoides,multidens,Goldbanded jobfish,296,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22940,209,Pristipomoides,sieboldii,Lavender jobfish,228,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29488,210,Pristipomoides,typus,Sharptooth jobfish,103,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22941,211,Pristipomoides,zonatus,Oblique-banded snapper,200,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22944,212,Randallichthys,filamentosus,Randall's snapper,19,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22946,213,Rhomboplites,aurorubens,Vermilion snapper,364,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22959,214,Symphorichthys,spilurus,Sailfin snapper,62,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22960,215,Symphorus,nematophorus,Chinamanfish,178,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29447,216,Makaira,nigricans,Blue marlin,10495,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae
Fis-164254,217,Istiompax,indica,Black marlin,4221,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae
Fis-164253,219,Kajikia,albida,Atlantic white marlin,929,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae
Fis-8203,222,Tetrapturus,georgii,Roundscale spearfish,99,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae
Fis-163398,223,Kajikia,audax,Striped marlin,5833,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae
Fis-29312,225,Callionymus,filamentosus,Blotchfin dragonet,74,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae
Fis-29576,226,Xiphias,gladius,Swordfish,10684,Animalia,Chordata,Actinopterygii,Perciformes,Xiphiidae
Fis-22902,227,Megalops,cyprinoides,Indo-Pacific tarpon,350,Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae
Fis-22841,228,Albula,vulpes,Bonefish,142,Animalia,Chordata,Actinopterygii,Albuliformes,Albulidae
Fis-171651,229,Nemoossis,belloci,Longfin bonefish,175,Animalia,Chordata,Actinopterygii,Albuliformes,Albulidae
Fis-29264,230,Alepocephalus,bairdii,Baird's slickhead,212,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae
Fis-22868,231,Coregonus,albula,Vendace,24,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-29501,236,Salmo,salar,Atlantic salmon,767,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-21630,238,Salmo,trutta,Sea trout,659,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-22919,239,Oncorhynchus,mykiss,Rainbow trout,144,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-22915,240,Oncorhynchus,gorbuscha,Pink salmon,309,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-22916,241,Oncorhynchus,keta,Chum salmon,530,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-58483,242,Oncorhynchus,masou,Masu salmon,39,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-22920,243,Oncorhynchus,nerka,Sockeye salmon,184,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-22921,244,Oncorhynchus,tshawytscha,Chinook salmon,562,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-22917,245,Oncorhynchus,kisutch,Coho salmon,402,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-22950,246,Salvelinus,fontinalis,Brook trout,149,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-22949,247,Salvelinus,alpinus,Arctic char,456,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae
Fis-22856,249,Centrolophus,niger,Rudderfish,732,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae
Fis-22953,250,Schedophilus,ovalis,Imperial blackfish,55,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae
Fis-29478,251,Plecoglossus,altivelis,Ayu sweetfish,65,Animalia,Chordata,Actinopterygii,Osmeriformes,Plecoglossidae
